Nombre del plato,Descuento,Días aplicables,Descripcion corta,Categoría,Imagen,Ingredientes
Ceviche de Camarones,15,Lunes a Viernes,"Camarones marinados al momento con limón, ají, cebolla morada y cilantro. Frescura del mar en cada bocado.",Especial del Mar,https://commons.wikimedia.org/wiki/Special:FilePath/Cebiche_de_corvina.JPG?width=800,camarones:0.25|limon:2|cebolla morada:0.05|aji limo:0.03|cilantro:0.02|sal:0.01
Sushi Roll de Salmón,20,Martes y Jueves,"Roll de salmón fresco con aguacate, alga nori y soja. Japón en tu mesa.",Japón,https://commons.wikimedia.org/wiki/Special:FilePath/Sushi_platter.jpg?width=800,salmon:0.22|arroz sushi:0.18|alga nori:1|aguacate:0.15|queso crema:0.06|salsa de soja:0.08
Tacos al Pastor,25,Fines de semana,"Tres tacos de carne al pastor con piña, cebolla y cilantro en tortilla de maíz.",México,https://commons.wikimedia.org/wiki/Special:FilePath/Tacos-al-Pastor.jpg?width=800,carne de res:0.18|tortilla de maiz:3|pina:0.12|cebolla morada:0.04|cilantro:0.02|aji limo:0.02
Spaghetti Carbonara,20,Todos los días,"Pasta italiana con panceta crocante, huevo y parmesano. Cremosa y clásica.",Italia,https://commons.wikimedia.org/wiki/Special:FilePath/Espaguetis_carbonara.jpg?width=800,espagueti:0.16|panceta:0.09|huevo:2|parmesano:0.05|crema de leche:0.08|sal:0.01
Paella de Mariscos,15,Domingo,"Arroz bomba con camarones, calamar y mejillones con azafrán. Un viaje a Valencia.",España,https://commons.wikimedia.org/wiki/Special:FilePath/01_Paella_Valenciana_original.jpg?width=800,arroz bomba:0.2|camarones:0.12|calamar:0.1|mejillones:0.12|azafran:0.001|guisantes:0.04
Burger y Papas,25,Miércoles,"Hamburguesa de res con cheddar, lechuga y tomate en pan brioche, con papas doradas.",EEUU,https://commons.wikimedia.org/wiki/Special:FilePath/RedDot_Burger.jpg?width=800,carne de res:0.18|pan brioche:1|queso cheddar:0.04|lechuga:0.04|tomate:0.05|papas:0.18
Pad Thai de Pollo,20,Lunes,"Tallarines de arroz salteados con pollo, brotes de soja y maní con lima de Tailandia.",Tailandia,https://commons.wikimedia.org/wiki/Special:FilePath/Phat_Thai_kung_Chang_Khien_street_stall.jpg?width=800,tallarines de arroz:0.18|pollo entero:0.15|brotes de soja:0.06|mani:0.04|limon:1|huevo:1
Pollo Tikka Masala,15,Jueves,"Curry de pollo en salsa de tomate y crema con especias. El favorito de la India.",India,https://commons.wikimedia.org/wiki/Special:FilePath/Chicken_tikka_masala_(cropped).jpg?width=800,pollo entero:0.18|tomate:0.12|crema de leche:0.12|aji limo:0.03|cilantro:0.02
Ensalada César,30,Viernes,"Lechuga fresca con pollo, crujientes y parmesano con aderezo cremoso de la casa.",Light,https://commons.wikimedia.org/wiki/Special:FilePath/Caesar_salad_(2).jpg?width=800,lechuga:0.18|pollo entero:0.1|pan ciabatta:0.4|parmesano:0.04|crema de leche:0.06|limon:1
Pollo a la Brasa,18,Fines de semana,"Pollo jugoso y dorado con papas nativas y arroz, ideal para compartir.",Clásicos,https://commons.wikimedia.org/wiki/Special:FilePath/Max's_Roasted_Chicken_-_Evan_Swigart.jpg?width=800,pollo entero:0.28|papas:0.22|arroz:0.15|sal:0.01
Sopa de Tomate,12,Todos los días,"Crema de tomate suave con crujientes de pan ciabatta. Calientita y reconfortante.",Sopas,https://commons.wikimedia.org/wiki/Special:FilePath/Tomato_soup%2C_plant-based_(44040252791).jpg?width=800,tomate:0.2|crema de leche:0.1|pan ciabatta:0.5|cilantro:0.02|sal:0.01
Twist de Limón,40,Domingo,"Batido refrescante de limón recién exprimido para cerrar la semana con energía.",Bebidas,https://commons.wikimedia.org/wiki/Special:FilePath/Lemonade_-_27682817724.jpg?width=800,limon:3
Café Frappé,25,Todos los días,"Café frío batido con crema y un toque dulce. Energía helada para tu tarde.",Bebidas,https://commons.wikimedia.org/wiki/Special:FilePath/Strawberry_Delight_Frappuccino.JPG?width=800,cafe:0.06|crema de leche:0.12|azucar:0.08
Tiramisú,10,Fines de semana,"Postre italiano de mascarpone, café y cacao. Suavidad que enamora.",Postres,https://commons.wikimedia.org/wiki/Special:FilePath/Tiramisu_-_Raffaele_Diomede.jpg?width=800,mascarpone:0.12|bizcochos de soletilla:0.08|huevo:1|cafe:0.04|cacao en polvo:0.03
Cheesecake de Fresa,15,Fines de semana,"Base de galleta crocante, crema de queso sedosa y fresas frescas. Clásico americano.",Postres,https://commons.wikimedia.org/wiki/Special:FilePath/Strawberry_cheesecake_round.jpg?width=800,queso crema:0.12|galletas digestive:0.06|mantequilla:0.04|fresas:0.12|azucar:0.06
Brownie de Chocolate,20,Fines de semana,"Brownie húmedo de chocolate. Un capricho irresistible de postre.",Postres,https://commons.wikimedia.org/wiki/Special:FilePath/Chocolatebrownie.JPG?width=800,chocolate:0.12|mantequilla:0.06|huevo:2|harina de trigo:0.08|azucar:0.08
